id,name,price,loc,date_add
7449059085,Shapleighs Vintage Brass Torch,$40, ,2022-02-28 15:28
7447327686,ANTIQUE VINTAGE 2 GALLON GAS CAN WITH INTERESTING PATINA OLD GASOLENE,$25,Houstonia ,2022-02-28 15:10
7451260290,Old phone desk,$75,New Franklin mo ,2022-02-28 14:43
7450422806,GE LP Gas & Electric 4 Burner Drop In Cooktop,$720,"Columbia, MO ",2022-02-28 14:27
7451938603,The Light of the World....signed print by Greg Olsen,$280, ,2022-02-28 10:30
7444277930,Antique double hand painted banquet lamp,$165, ,2022-02-27 20:23
7451737989,Gorgeous Antique Bedroom Suite,"$1,000","Holts Summit, MO ",2022-02-27 18:30
7451734616,Round Oak wood burning stove parts - pedestals and door,$120,1 ,2022-02-27 18:19
7445007455,Tobacco cutter grinder - hand crank,, ,2022-02-27 13:22
7451614938,Vintage Mahogany Armoire,$600,"Ashland, MO ",2022-02-27 13:19
7449339931,Rocking Chair/sewing rocker,$95,Columbia ,2022-02-27 08:00
7451473163,1918 Comptometer,$150,Sedalia ,2022-02-27 07:23
7447158969,3 - Vintage Sleds,$0,Jefferson City ,2022-02-26 22:23
7451168259,ANTIQUE HOARDER'S AUCTION 2,$0,Linn ,2022-02-26 11:14
7444012807,Wooden Kraut Cabbage Slaw Cutter Slicer Shredder,$50,Jefferson City ,2022-02-25 21:06
7450963328,Old candle top tilt table,$300,Columbia ,2022-02-25 19:25
7446535040,Antique flexible flyer sled,$75,Sturgeon ,2022-02-25 18:15
7446518925,1913 Gilbert Mantle clock,$125,Sturgeon ,2022-02-25 18:12
7447576752,Budweiser pitcher w/6 tall glassee,$50,Jefferson City ,2022-02-25 13:27
7447577108,Hamm's beer glass,$10,Jefferson City ,2022-02-25 13:27
7447624307,Blue 1/2 gallon blue Ball Mason jar,$20,Jefferson City ,2022-02-25 13:26
7448544933,Blue Ball Perfect Mason jars,$10,Jefferson City ,2022-02-25 13:25
7448549386,Stag glasses,$10,Jefferson City ,2022-02-25 13:24
7448549758,Colored wine style shot glasses,$5,Jefferson City ,2022-02-25 13:24
7443079179,Antique bird cage art Deco,$60,Mexico ,2022-02-25 09:38
7450621325,Wicker Table,$140,Columbia ,2022-02-25 07:23
7438645384,Parlor Chair/Eastlake,$225,Columbia ,2022-02-25 07:19
7447824771,Rocking Chair/sewing rocker,$95,Columbia ,2022-02-25 07:15
7450571884,"80"" Antique Mantle/Display Shelf * Great Statement Piece!",$100,"Columbia, MO ",2022-02-24 23:08
7450526516,1936 Farmall F-20 w steel wheels,,California ,2022-02-24 19:36
7439531332,wedded to science painting,"$3,500",St. Clair ,2022-02-24 18:06
7438363422,Rare McCaskey Old Store Receipt Filing Tin,"$1,000",Moberly ,2022-02-24 17:22
7450450112,Vintage Backpack Water Fire Extinguisher,$95,Jefferson City ,2022-02-24 16:05
7437982645,Dietz No. 2 D-Lite Antique Lantern N. Y. With Red Globe,$70,Columbia ,2022-02-22 15:37
7437979498,Vintage Dressel Railroad 4 Way Switch Lamp / Signal Lantern with Cast,$280,Columbia ,2022-02-22 15:37
7437955288,VINTAGE PENCHIME 31 DAY WOOD WALL CLOCK,$50,Columbia ,2022-02-22 15:36
7449150417,Corningware casserole with lid,$10,Columbia ,2022-02-21 17:10
7449149719,Large Oval Pyrex Spring Blossom Casserole,$20,Columbia ,2022-02-21 17:08
7449006064,TWO Kenmore Franklin rotary sewing machines PLUS Greist rotary attachments,,Jefferson City ,2022-02-21 12:40
7437544294,"Kollsman Type C-14, Vacuum Pressure Gauge, US Army Air Force",$50,Tipton ,2022-02-20 22:30
7437543663,"Bendix Airspeed Indicator, Sensitive, 700MPH, Army Type F-1, US Army A",$100,Tipton ,2022-02-20 22:30
7437543084,"Jaeger Tachometer, Chronometric, Type C-11, WWII, Air Corps US Army",$100,Tipton ,2022-02-20 22:30
7448689372,Looking For An Upright Bass,,Macon ,2022-02-20 16:55
7448404151,Quality and Authentic,$0, ,2022-02-19 22:34
7439353468,Antique Pyrene Fire Extinguisher ~ Brass ~ Full with Wall Bracket,$25,"Hallsville, MO ",2022-02-19 20:54
7439348505,Vintage Metal 1 Gallon Thermos Jug ~ Bakelite Top & Wood Handle ~ Cera,$20,"Hallsville, MO ",2022-02-19 20:54
7447813689,GPL CRANE SNACK MACHINE,$750,"COLUMBIA, MO ",2022-02-18 14:54
7447808609,Vintage 1940s Health-O-Meter Bathroom Scale Retro Mid-Century Décor,$20,Jefferson City ,2022-02-18 14:43
7447807842,Vintage Fuller Brush Hair Brush Cleaner Beard Mustache,$5,Jefferson City ,2022-02-18 14:41
7439947085,Antique 1940’s table and 3 chairs,$125,Tebbetts ,2022-02-18 11:12
